    tt    m             px                      py                      pz                      vx                      vy                      vz
 -4400.0  3  -1.1381953918048070e-02 -4.9395155742352082e-03 -2.5013949385608888e-03  2.0815477738274353e-03 -3.8311449818888873e-03 -1.7859723916958201e-03
 -4300.0  0  -2.8223532310142118e-03  2.1226743829485454e-04  5.7569034283322970e-05 -7.5591240349889800e-04 -8.9710208409991780e-03 -4.2880827563613619e-03
 -4300.0  1  -5.9043471647211431e-04 -3.9995193467410829e-03 -1.9499716344599778e-03  7.8514866244103285e-03 -1.0689103574894685e-03 -3.5381356621573800e-04
 -4300.0  2  -5.9148531313074374e-03 -3.6019174285094042e-03 -1.7813136088738381e-03  3.5393942971168059e-03 -4.7102523883685993e-03 -2.1992421937608790e-03
 -4300.0  3  -1.1647011727985775e-02 -4.4194985840756099e-03 -2.2587808476084411e-03  1.8660641330236697e-03 -3.9194637928597464e-03 -1.8306297770537248e-03
 -4200.0  0   2.8085071396207625e-03  2.0651480820679197e-04  1.4185324189788827e-04 -8.3709411701515584e-04  9.0103357773555683e-03  4.2835854089506350e-03
 -4200.0  1   3.3603415827653830e-03 -2.7398757138181124e-03 -1.2550603531082880e-03  5.2245194803787745e-03  5.2745487060944047e-03  2.6647809147768552e-03
 -4200.0  2  -6.4272012834664331e-03 -2.7922480702518892e-03 -1.4022911935121271e-03  2.7581445836126878e-03 -5.1186353034240115e-03 -2.4026948566605766e-03
 -4200.0  3  -1.1882225506475998e-02 -3.8883838897901747e-03 -2.0106520073651891e-03  1.6460411304251251e-03 -3.9961840516795893e-03 -1.8698678972276863e-03
 -4100.0  0  -2.7309625906934329e-03 -5.7110053483436435e-04 -3.1462561710037977e-04  2.3350796089564767e-03 -8.8406836882717488e-03 -4.1810883137563268e-03
 -4100.0  1   4.2620116497888013e-03  1.0925279783058624e-03  6.2097634293745878e-04 -2.2620281769620168e-03  6.9375353000929989e-03  3.3069638952063227e-03
 -4100.0  2  -6.8063384995884204e-03 -1.9319439336881474e-03 -9.9754144977058971e-04  1.9203019069710841e-03 -5.4206767887970114e-03 -2.5563388898939719e-03
 -4100.0  3  -1.2088346543259760e-02 -3.3473086910842109e-03 -1.7575363960321620e-03  1.4220173339162582e-03 -4.0646323740068293e-03 -1.9052743546325338e-03
 -4000.0  0   2.6179825406773653e-03  9.3448080670564446e-04  4.8656079989407657e-04 -3.7691029622253175e-03  8.3854132277182518e-03  3.9428743769073732e-03
 -4000.0  1   1.1847232812824272e-03  3.9101000874354214e-03  1.9159434131436350e-03 -7.5954588141117557e-03  1.9832286781638351e-03  7.9139279319765754e-04
 -4000.0  2  -7.0499946168596488e-03 -1.0342819505504450e-03 -5.7348200673383099e-04  1.0423314323208910e-03 -5.6056407610863704e-03 -2.6547795416673667e-03
 -4000.0  3  -1.2263730543806254e-02 -2.7977761938668098e-03 -1.5000852477654305e-03  1.1942158895758867e-03 -4.1213717761321616e-03 -1.9352323961741393e-03
 -3900.0  0  -2.4149352023676435e-03 -1.3170274071319537e-03 -6.6632567919343928e-04  5.1876855578943323e-03 -7.7191762466644089e-03 -3.6035473748623199e-03
 -3900.0  1  -2.9060463209746542e-03  3.1130312146635834e-03  1.4384071118383383e-03 -5.9925647237651595e-03 -4.6099173426225049e-03 -2.3604708601615500e-03
 -3900.0  2  -7.1529771378941870e-03 -1.0954463868529868e-04 -1.3473659373304840e-04  1.4285377739219684e-04 -5.6745881558570733e-03 -2.6982786435897936e-03
 -3900.0  3  -1.2408945762577355e-02 -2.2415585457374902e-03 -1.2390986517554342e-03  9.6445125215933645e-04 -4.1693406987612456e-03 -1.9611165107041089e-03
 -3800.0  0   2.1369571976556810e-03  1.6388959719205124e-03  8.1610550093191088e-04 -6.4971191121990382e-03  6.9371275742167544e-03  3.2099903841870466e-03
 -3800.0  1  -4.3914037527207888e-03 -6.0793077968585582e-04 -3.9294276528550377e-04  1.2527531672514342e-03 -7.1265007857492964e-03 -3.4097775288200573e-03
 -3800.0  2  -7.1034207192778405e-03  8.2540425651814967e-04  3.1071120280966704e-04 -7.6147136543044524e-04 -5.6268597668510988e-03 -2.6864350530316113e-03
 -3800.0  3  -1.2522601151481620e-02 -1.6796345733005921e-03 -9.7497016633319312e-04  7.3161379591898750e-04 -4.2052782128541542e-03 -1.9813993556728401e-03
 -3700.0  0  -1.8517895040257458e-03 -1.8953314113037212e-03 -9.3447932001840001e-04  7.5707935238317255e-03 -6.0064675171877724e-03 -2.7480831445929246e-03
 -3700.0  1  -1.8024432932389621e-03 -3.7231490777605084e-03 -1.8360893156369156e-03  7.2061146575533403e-03 -2.9038966690092768e-03 -1.2343945723596423e-03
 -3700.0  2  -6.9004108852094440e-03  1.7405757908341803e-03  7.4861299818311663e-04 -1.6498218821236273e-03 -5.4676696357638952e-03 -2.6212984258176912e-03
 -3700.0  3  -1.2605290072780842e-02 -1.1137970745708160e-03 -7.0851142380930698e-04  4.9824455452252665e-04 -4.2318020851021786e-03 -1.9972795132583692e-03
 -3600.0  0   1.5153275387228755e-03  2.1441558711814122e-03  1.0483079752840914e-03 -8.4449997186539800e-03  4.8592391413581435e-03  2.1854233175550661e-03
 -3600.0  1   2.4199575787182490e-03 -3.4052006162334494e-03 -1.5834737640589426e-03  6.6590339787805358e-03  3.8811789858411929e-03  2.0238814571872394e-03
 -3600.0  2  -6.5558874854563347e-03  2.6121743381351962e-03  1.1676460860091005e-03 -2.5036385854475527e-03 -5.1945644875101135e-03 -2.5015710461648681e-03
 -3600.0  3  -1.2656085014633663e-02 -5.4510781063924906e-04 -4.4017568188410870e-04  2.6226908472543232e-04 -4.2465372684157079e-03 -2.0076515972620233e-03
 -3500.0  0  -1.0950627589683280e-03 -2.3448167184465271e-03 -1.1376416289347010e-03  9.1930586377349018e-03 -3.5746614541815281e-03 -1.5583432309260812e-03
 -3500.0  1   4.4632294221932899e-03  1.1718341283272872e-04  1.6103215291042483e-04 -2.4334648234031333e-04  7.1798541070456374e-03  3.4481612473528469e-03
 -3500.0  2  -6.0844917820752588e-03  3.4251964621248789e-03  1.5603068739688435e-03 -3.2994375791580788e-03 -4.8142537711253468e-03 -2.3301334629718925e-03
 -3500.0  3  -1.2675670583167159e-02  2.4572899778448222e-05 -1.7083081890017666e-04  2.7184139743757096e-05 -4.2516476603757401e-03 -2.0134768508517434e-03
 -3400.0  0   6.7894426364293822e-04  2.4560514068594067e-03  1.1840358137362120e-03 -9.7423696449988866e-03  2.2735217993549652e-03  9.2640627211183215e-04
 -3400.0  1   2.3720269628111205e-03  3.4524866522061015e-03  1.7154294003264800e-03 -6.7070052621068061e-03  3.7628361852912961e-03  1.6494792303039330e-03
 -3400.0  2  -5.4914795986739425e-03  4.1733486396976476e-03  1.9236679567987190e-03 -4.0265680248912318e-03 -4.3326135137653488e-03 -2.1095178958291860e-03
 -3400.0  3  -1.2663567873646617e-02  5.9427640317962903e-04  9.9079905987730358e-05 -2.0948513195593360e-04 -4.2456592635726599e-03 -2.0140779485337402e-03
 -3300.0  0  -2.8380857171507505e-04 -2.5245262215324565e-03 -1.2101806495814723e-03  9.9835291470899510e-03 -9.4399241433069903e-04 -2.8589824322440164e-04
 -3300.0  1  -1.9190696664501199e-03  3.6381934717889634e-03  1.7006237820006167e-03 -7.1974732298126067e-03 -3.0747489982499514e-03 -1.6477173364502773e-03
 -3300.0  2  -4.7777587663113824e-03  4.8428797763394463e-03  2.2511282677575976e-03 -4.6715473778183607e-03 -3.7607492835198867e-03 -1.8449925366323314e-03
 -3300.0  3  -1.2620123949689737e-02  1.1617667248129827e-03  3.6848728552114901e-04 -4.4353928276592657e-04 -4.2296127439336827e-03 -2.0098732100639559e-03
 -3200.0  0  -1.6598668701649935e-04  2.5509411488582631e-03  1.2150374724945001e-03 -9.9545494115760164e-03 -4.7613853050115746e-04 -3.9312345385188565e-04
 -3200.0  1  -4.4736900231795336e-03  4.2032048402232310e-04  9.4220543328296595e-05 -8.1184635197742059e-04 -7.0975287824777238e-03 -3.4231090553103515e-03
 -3200.0  2  -3.9563662375240449e-03  5.4114809818656814e-03  2.5317714702843943e-03 -5.2265706560245392e-03 -3.1121922086564508e-03 -1.5427540104512034e-03
 -3200.0  3  -1.2545203712529587e-02  1.7264635429943222e-03  6.3710179836538904e-04 -6.7802836020971829e-04 -4.2028169197474230e-03 -2.0005671459966453e-03
 -3100.0  0   6.2944441305885226e-04 -2.4866081774627055e-03 -1.1762131225466969e-03  9.7596966972949371e-03  1.9148259791760638e-03  1.0774379662933558e-03
 -3100.0  1  -2.8823492295770889e-03 -3.1030780693824217e-03 -1.5559970056886311e-03  6.1065529229978174e-03 -4.5630982543798564e-03 -2.0381546847315028e-03
 -3100.0  2  -3.0569244233423047e-03  5.8606401781535686e-03  2.7565913432172876e-03 -5.6727034287543396e-03 -2.4012077445872398e-03 -1.2093952413572450e-03
 -3100.0  3  -1.2438964677370205e-02  2.2862298687184915e-03  9.0388387790281877e-04 -9.0886928560710315e-04 -4.1653525873951956e-03 -1.9861303304992170e-03
 -3000.0  0  -1.0234359363353617e-03  2.3664730600176892e-03  1.1117909979476706e-03 -9.3625722703511941e-03 -3.2435720239667870e-03 -1.7053033205582332e-03
 -3000.0  1   1.4190152315934339e-03 -3.8113260747040471e-03 -1.7891753424404686e-03  7.5911700807508049e-03  2.2351232212187034e-03  1.2531655300232021e-03
 -3000.0  2  -2.1071931249856796e-03  6.1873593344852658e-03  2.9236421121311366e-03 -5.9999683615687954e-03 -1.6452109430407104e-03 -8.5317940698738826e-04
 -3000.0  3  -1.2301936408453550e-02  2.8405226431950270e-03  1.1685386080949234e-03 -1.1393018397907329e-03 -4.1178198810272069e-03 -1.9668884933659019e-03
 -2900.0  0   1.3994542294862831e-03 -2.2185611361104189e-03 -1.0344086072895540e-03  8.6698482292528693e-03  4.4608454540087921e-03  2.2738637235316093e-03
 -2900.0  1   4.3934442075953609e-03 -9.7326285916931254e-04 -3.5833577938243640e-04  1.8566100167795663e-03  6.8984644624728378e-03  3.3421890982623420e-03
 -2900.0  2  -1.1185925214677980e-03  6.3925267885641930e-03  3.0332337222909261e-03 -6.1988031203917878e-03 -8.5628690767420006e-04 -4.7959240177976195e-04
 -2900.0  3  -1.2134141793975753e-02  3.3874711409790110e-03  1.4301477271717524e-03 -1.3653499768508295e-03 -4.0595324809241332e-03 -1.9424579697563107e-03
 -2800.0  0  -1.7879436680338428e-03  1.9928423082898861e-03  9.1982293491204203e-04 -7.7333976072264379e-03 -5.6307750889685584e-03 -2.8151076196132772e-03
 -2800.0  1   3.3129692549562668e-03  2.7020369098594084e-03  1.3704248989562845e-03 -5.4027361149990337e-03  5.2889518132814397e-03  2.3930965595694710e-03
 -2800.0  2  -9.6109699544003586e-05  6.4715250595259559e-03  3.0831707083988319e-03 -6.2715928422025892e-03 -4.6577156877773635e-05 -9.4600857158499000e-05
 -2800.0  3  -1.1936624355185197e-02  3.9262752727140197e-03  1.6882867301653208e-03 -1.5896285153803131e-03 -3.9922028949702162e-03 -1.9136897891595625e-03
 -2700.0  0   2.1078336234375194e-03 -1.6993452065426817e-03 -7.7420121922180279e-04  6.6761784237488273e-03  6.7064262672146728e-03  3.3085224921941595e-03
 -2700.0  1  -8.9910337480530978e-04  3.9450806340806570e-03  1.8592655320412320e-03 -7.8374856546542804e-03 -1.3416237473219950e-03 -8.3049212135055520e-04
 -2700.0  2   9.3996551466976337e-04  6.4126530282925323e-03  3.0674392390899873e-03 -6.2162197871836154e-03  7.6886862882469893e-04  2.9469604199369075e-04
 -2700.0  3  -1.1709207669063842e-02  4.4548478872348364e-03  1.9419428274387606e-03 -1.8084102832255410e-03 -3.9140494004744801e-03 -1.8796920191333454e-03
 -2600.0  0  -2.3478287802567773e-03  1.4067458767442946e-03  6.3065204783782538e-04 -5.5001809576307641e-03 -7.5584471668281288e-03 -3.6929957015385930e-03
 -2600.0  1  -4.2178570019181629e-03  1.5240097401488925e-03  6.2303617930191749e-04 -2.8673431893659839e-03 -6.5827890510670797e-03 -3.2048997823469543e-03
 -2600.0  2   1.9518381170636951e-03  6.2156802313528946e-03  2.9856505363793219e-03 -6.0375538640827942e-03  1.5672730049130423e-03  6.7744242725484218e-04
 -2600.0  3  -1.1453061659415903e-02  4.9726776452891780e-03  2.1908361938958744e-03 -2.0238186080257098e-03 -3.8273847171086724e-03 -1.8415986318683912e-03
 -2500.0  0   2.5685976198698778e-03 -1.0781941686873399e-03 -4.7047520334780060e-04  4.1259772133471900e-03  8.1895609040177897e-03  3.9688937639931667e-03
 -2500.0  1  -3.6562388333025971e-03 -2.2791422826601839e-03 -1.1729318834346339e-03  4.6272708129269074e-03 -5.9060074128296390e-03 -2.6971186695283755e-03
 -2500.0  2   2.9100523082109747e-03  5.8937304025905917e-03  2.8436299651594713e-03 -5.7353584263589493e-03  2.3297141953353712e-03  1.0444577927539551e-03
 -2500.0  3  -1.1167850545052531e-02  5.4779298683852685e-03  2.4340892628387689e-03 -2.2332075738947894e-03 -3.7296516298377788e-03 -1.7981706134350788e-03
 -2400.0  0  -2.7316019470931992e-03  6.7970686282245061e-04  2.7826264200311483e-04 -2.6106979417517282e-03 -8.6803199076328705e-03 -4.1756956474172813e-03
 -2400.0  1   3.4027861317782114e-04 -4.0307302046617144e-03 -1.9070323210983206e-03  7.9409155536369364e-03  4.0967408338371449e-04  3.8723288021513108e-04
 -2400.0  2   3.8042075145906626e-03  5.4594441583903719e-03  2.6472130599080423e-03 -5.3152871521823060e-03  3.0392622449368955e-03  1.3877550259894583e-03
 -2400.0  3  -1.0855336405984753e-02  5.9697874212149742e-03  2.6712847572747909e-03 -2.4379770995508463e-03 -3.6240199183195706e-03 -1.7509401703171606e-03
 -2300.0  0   2.7951251883759653e-03 -2.8629274112414681e-04 -9.0286235904075662e-05  1.0922391532321829e-03  9.0064714739079045e-03  4.3048724289639134e-03
 -2300.0  1   3.9347043018978364e-03 -2.0526969816001567e-03 -8.7917707713428494e-04  3.8556243282421615e-03  6.1610700182202676e-03  3.0169269838640294e-03
 -2300.0  2   4.6319262719012964e-03  4.9132084684670434e-03  2.3967185992656717e-03 -4.7811453857579981e-03  3.6905433515853278e-03  1.7046435340384897e-03
 -2300.0  3  -1.0515228769761839e-02  6.4469066176177404e-03  2.9017942118691712e-03 -2.6365085701033149e-03 -3.5077177396113019e-03 -1.6985827113300532e-03
 -2200.0  0  -2.8099109045074972e-03 -7.5488895649095721e-05 -8.1715848903136546e-05  4.0196731841886060e-04 -9.0598073872987760e-03 -4.3050819968147285e-03
 -2200.0  1   3.9288056675544593e-03  1.8459358931487981e-03  9.6943922638566520e-04 -3.7771611300428738e-03  6.4111389592875394e-03  2.9487256619749320e-03
 -2200.0  2   5.3730987389996538e-03  4.2571529631493391e-03  2.0927372907433728e-03 -4.1452458422857816e-03  4.2680968366355029e-03  1.9875640182014831e-03
 -2200.0  3  -1.0149552909567212e-02  6.9082121496849358e-03  3.1250915833417690e-03 -2.8288961830003818e-03 -3.3844402360628297e-03 -1.6428595530498706e-03
 -2100.0  0   2.7756088816319720e-03  4.7684015876515279e-04  2.7167699796616489e-04 -1.9501048627480393e-03  8.8476575626343004e-03  4.1791666275720748e-03
 -2100.0  1   2.4098342656737857e-04  4.0570149702103602e-03  1.9267917333990847e-03 -7.8981978141958523e-03  5.2182776081982705e-04  5.8353046022719627e-05
