*******************************************************************************
Ephemeris / WWW_USER Sun Apr 28 18:31:04 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7 x 2439.7 x 2439.7 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************
 2010-Apr-21 00:00       3.10   5.06  0.405874988552   9.1233981 0.63320297708675 -23.9139162 149.7332
 2010-Apr-23 00:00       3.96   5.36  0.416081307887   8.5293863 0.60817732796632 -19.3846506 157.5324
 2010-Apr-25 00:00       4.93   5.50  0.425544385788   7.8406458 0.58846550193834 -14.7297472 165.2684
 2010-Apr-27 00:00       n.a.   n.a.  0.434167084803   7.0776794 0.57415858215711 -10.0440327 172.8175
 2010-Apr-29 00:00       n.a.   n.a.  0.441873553268   6.2569531 0.56523361043275  -5.4289863 177.6935
 2010-May-01 00:00       n.a.   n.a.  0.448604995021   5.3916406 0.56155067532406  -0.9838349 171.5204
 2010-May-03 00:00       4.86   5.64  0.454316259617   4.4922940 0.56286188325710   3.2054363 164.4558
 2010-May-05 00:00       4.03   5.58  0.458973155223   3.5674231 0.56883223300463   7.0751006 157.5959
 2010-May-07 00:00       3.33   5.39  0.462550378336   2.6239849 0.57906839289743  10.5881200 151.0386
 2010-May-09 00:00       2.75   5.17  0.465029964023   1.6677969 0.59314964184123  13.7335664 144.8171
 2010-May-11 00:00       2.27   4.94  0.466400177233   0.7038895 0.61065577432968  16.5222438 138.9380
 2010-May-13 00:00       1.87   4.74  0.466654784920  -0.2631856 0.63118866146160  18.9804108 133.3899
 2010-May-15 00:00       1.54   4.54  0.465792667935  -1.2290734 0.65438630590884  21.1432918 128.1481
 2010-May-17 00:00       1.27   4.37  0.463817750285  -2.1893456 0.67992978771277  23.0493588 123.1786
 2010-May-19 00:00       1.04   4.21  0.460739241467  -3.1392265 0.70754425845933  24.7357807 118.4417
 2010-May-21 00:00       0.84   4.06  0.456572205546  -4.0732987 0.73699544133962  26.2352057 113.8936
 2010-May-23 00:00       0.67   3.92  0.451338489052  -4.9851726 0.76808318339187  27.5738368 109.4884
 2010-May-25 00:00       0.51   3.79  0.445068058821  -5.8671045 0.80063337054423  28.7704415 105.1789
 2010-May-27 00:00       0.37   3.66  0.437800820348  -6.7095434 0.83448901873098  29.8358465 100.9165
 2010-May-29 00:00       0.24   3.54  0.429589005746  -7.5005952 0.86950089074886  30.7725661  96.6516
 2010-May-31 00:00       0.12   3.41  0.420500234248  -8.2253935 0.90551760111896  31.5742312  92.3333
 2010-Jun-02 00:00       0.00   3.29  0.410621349968  -8.8653857 0.94237481507976  32.2245681  87.9087
 2010-Jun-04 00:00      -0.12   3.16  0.400063116857  -9.3975730 0.97988300683631  32.6959538  83.3231
 2010-Jun-06 00:00      -0.25   3.03  0.388965774400  -9.7938029 1.01781342820582  32.9478198  78.5201
 2010-Jun-08 00:00      -0.38   2.90  0.377505288700 -10.0203181 1.05588234018995  32.9253238  73.4421
 2010-Jun-10 00:00      -0.51   2.77  0.365899813509 -10.0379220 1.09373415689016  32.5589318  68.0321
 2010-Jun-12 00:00      -0.65   2.62  0.354415335662  -9.8033430 1.13092510478693  31.7659392  62.2369
 2010-Jun-14 00:00      -0.80   2.47  0.343368676752  -9.2725983 1.16691043302019  30.4553734  56.0120
 2010-Jun-16 00:00      -0.96   2.31  0.333125032041  -8.4072235 1.20104005260278  28.5379891  49.3292
 2010-Jun-18 00:00      -1.13   2.14  0.324086399869  -7.1838208 1.23256943391437  25.9428894  42.1869
 2010-Jun-20 00:00      -1.33   1.94  0.316667379971  -5.6060804 1.26069358892007  22.6405645  34.6218
 2010-Jun-22 00:00      -1.55   1.72  0.311257028977  -3.7161659 1.28460940636527  18.6676911  26.7207
 2010-Jun-24 00:00      -1.80   1.47  0.308170459827  -1.6000686 1.30360299772322  14.1436177  18.6380
 2010-Jun-26 00:00      -2.08   1.19  0.307600475658   0.6185220 1.31714553054533   9.2668607  10.6734
 2010-Jun-28 00:00      -2.33   0.94  0.309583867863   2.7971637 1.32497038624024   4.2863281   4.3293
 2010-Jun-30 00:00      -2.15   1.10  0.313994617765   4.8008363 1.32710552551730  -0.5451050   7.4730
 2010-Jul-02 00:00      -1.83   1.42  0.320566653050   6.5251944 1.32385052962123  -5.0166424  14.4867
 2010-Jul-04 00:00      -1.55   1.70  0.328937525747   7.9086384 1.31570930235520  -8.9881733  21.4416
 2010-Jul-06 00:00      -1.30   1.94  0.338698445866   8.9315443 1.30330330289447 -12.3954489  27.9786
 2010-Jul-08 00:00      -1.09   2.15  0.349437858458   9.6068114 1.28729003534556 -15.2373245  34.0293
 2010-Jul-10 00:00      -0.90   2.33  0.360771949277   9.9675804 1.26830173756175 -17.5551947  39.5950
 2010-Jul-12 00:00      -0.75   2.48  0.372361492773  10.0563601 1.24690815010213 -19.4129089  44.7068
 2010-Jul-14 00:00      -0.61   2.62  0.383917901852   9.9173207 1.22359995601528 -20.8814834  49.4104
 2010-Jul-16 00:00      -0.49   2.75  0.395202253553   9.5917511 1.19878645306707 -22.0297299  53.7575
 2010-Jul-18 00:00      -0.38   2.86  0.406020536715   9.1159136 1.17280109295237 -22.9196897  57.8011
 2010-Jul-20 00:00      -0.29   2.97  0.416217382292   8.5204313 1.14591053670445 -23.6047891  61.5929
 2010-Jul-22 00:00      -0.20   3.06  0.425669628556   7.8305218 1.11832499992315 -24.1293165  65.1819
 2010-Jul-24 00:00      -0.13   3.15  0.434280416898   7.0666242 1.09020871021281 -24.5286941  68.6143
 2010-Jul-26 00:00      -0.06   3.23  0.441974103747   6.2451542 1.06168976414212 -24.8301857  71.9336
 2010-Jul-28 00:00       0.00   3.30  0.448692045829   5.3792455 1.03286908612523 -25.0536958  75.1809
 2010-Jul-30 00:00       0.06   3.37  0.454389204425   4.4794203 1.00382851948621 -25.2124514  78.3959
 2010-Aug-01 00:00       0.11   3.44  0.459031470374   3.5541662 0.97463823944733 -25.3134897  81.6169
 2010-Aug-03 00:00       0.16   3.50  0.462593603849   2.6104245 0.94536372537329 -25.3579294  84.8822
 2010-Aug-05 00:00       0.22   3.56  0.465057692664   1.6540024 0.91607256490716 -25.3409775  88.2305
 2010-Aug-07 00:00       0.27   3.63  0.466412049958   0.6899241 0.88684145712154 -25.2515502  91.7015
 2010-Aug-09 00:00       0.34   3.69  0.466650491406  -0.2772607 0.85776396830724 -25.0713191  95.3370
 2010-Aug-11 00:00       0.42   3.76  0.465771951449  -1.2431957 0.82895974829912 -24.7731785  99.1814
 2010-Aug-13 00:00       0.51   3.84  0.463780416731  -2.2034476 0.80058558963336 -24.3197329 103.2820
 2010-Aug-15 00:00       0.63   3.92  0.460685173022  -3.1532316 0.77284787750926 -23.6624221 107.6898
 2010-Aug-17 00:00       0.78   4.02  0.456501379869  -4.0871162 0.74601587535243 -22.7408022 112.4585
 2010-Aug-19 00:00       0.98   4.14  0.451251005509  -4.9986919 0.72043601576423 -21.4815672 117.6438
 2010-Aug-21 00:00       1.24   4.28  0.444964173506  -5.8801871 0.69654704857822 -19.7982943 123.3009
 2010-Aug-23 00:00       1.57   4.46  0.437680991849  -6.7220147 0.67489426385314 -17.5935828 129.4795
 2010-Aug-25 00:00       2.01   4.66  0.429453953445  -7.5122334 0.65613900905714 -14.7653545 136.2145
 2010-Aug-27 00:00       2.57   4.90  0.420351010482  -8.2359180 0.64105766220307 -11.2190636 143.5092
 2010-Aug-29 00:00       3.29   5.14  0.410459426306  -8.8744448 0.63052252095705  -6.8868148 151.2974
 2010-Aug-31 00:00       4.15   5.32  0.399890482919  -9.4047317 0.62545710448542  -1.7520130 159.3298
 2010-Sep-02 00:00       5.06   5.28  0.388785044619  -9.7985351 0.62676219765330   4.1259065 166.6738
 2010-Sep-04 00:00       n.a.   n.a.  0.377319807890 -10.0220059 0.63521767936080  10.5959596 169.5422
 2010-Sep-06 00:00       4.67   5.17  0.365713745326 -10.0358722 0.65137632265045  17.4182843 164.1246
 2010-Sep-08 00:00       3.53   4.94  0.354233708280  -9.7968303 0.67547262934365  24.2868624 154.9560
 2010-Sep-10 00:00       2.46   4.50  0.343197347133  -9.2609493 0.70736582040799  30.8637909 144.6723
 2010-Sep-12 00:00       1.55   4.02  0.332970517090  -8.3899529 0.74652280804075  36.8123979 133.9542
 2010-Sep-14 00:00       0.81   3.59  0.323955519225  -7.1608135 0.79203531765709  41.8231783 123.0514
 2010-Sep-16 00:00       0.24   3.22  0.316566678138  -5.5777863 0.84266410040736  45.6358702 112.1035
 2010-Sep-18 00:00      -0.20   2.93  0.311192010333  -3.6837310 0.89690943654879  48.0637908 101.2241
 2010-Sep-20 00:00      -0.51   2.71  0.308144773413  -1.5653067 0.95311193942450  49.0214356  90.5319
 2010-Sep-22 00:00      -0.73   2.55  0.307615278464   0.6533714 1.00958327500305  48.5464759  80.1574
 2010-Sep-24 00:00      -0.87   2.43  0.309637596609   2.8298430 1.06475182279700  46.8012570  70.2341
 2010-Sep-26 00:00      -0.97   2.34  0.314083269357   4.8294894 1.11729332138048  44.0449732  60.8816
 2010-Sep-28 00:00      -1.04   2.27  0.320684475030   6.5486354 1.16621495672783  40.5832666  52.1887
 2010-Sep-30 00:00      -1.09   2.21  0.329077877766   7.9263994 1.21087713967306  36.7141668  44.2043
 2010-Oct-02 00:00      -1.14   2.14  0.338854588057   8.9437468 1.25095988818372  32.6884533  36.9376
 2010-Oct-04 00:00      -1.19   2.06  0.349603520516   9.6139616 1.28639593099782  28.6918604  30.3651
 2010-Oct-06 00:00      -1.24   1.98  0.360941649934   9.9703734 1.31729465185563  24.8458713  24.4414
 2010-Oct-08 00:00      -1.31   1.90  0.372530654331  10.0555350 1.34387379606078  21.2189380  19.1093
 2010-Oct-10 00:00      -1.38   1.80  0.384082829419   9.9135729 1.36640632144156  17.8404674  14.3094
 2010-Oct-12 00:00      -1.46   1.71  0.395360041828   9.5856901 1.38518276695787  14.7133448   9.9913
 2010-Oct-14 00:00      -1.54   1.61  0.406168948694   9.1080501 1.40048666781256  11.8239888   6.1404
 2010-Oct-16 00:00      -1.61   1.52  0.416354726332   8.5111806 1.41258013498086   9.1498930   2.9598
 2010-Oct-18 00:00      -1.57   1.54  0.425794647013   7.8202149 1.42169669318470   6.6646904   2.4006
 2010-Oct-20 00:00      -1.41   1.69  0.434392191420   7.0555219 1.42803872817487   4.3411717   4.8343
 2010-Oct-22 00:00      -1.24   1.85  0.442071977790   6.2334596 1.43177754585931   2.1528933   7.5971
 2010-Oct-24 00:00      -1.09   1.99  0.448775562899   5.3671164 1.43305474634122   0.0749235  10.2996
 2010-Oct-26 00:00      -0.96   2.12  0.454458059752   4.4669788 1.43198415870589  -1.9158803  12.9099
 2010-Oct-28 00:00      -0.85   2.23  0.459085473715   3.5415074 1.42865395242112  -3.8408135  15.4402
 2010-Oct-30 00:00      -0.76   2.33  0.462632651348   2.5976233 1.42312875477418  -5.7193589  17.9117
 2010-Nov-01 00:00      -0.67   2.42  0.465081746109   1.6411190 1.41545170775135  -7.5692451  20.3480
 2010-Nov-03 00:00      -0.60   2.49  0.466421122172   0.6770093 1.40564648809635  -9.4064371  22.7730
 2010-Nov-05 00:00      -0.54   2.56  0.466644636886  -0.2901611 1.39371939455545 -11.2450460  25.2112
 2010-Nov-07 00:00      -0.49   2.62  0.465751261677  -1.2560368 1.37966148051648 -13.0974007  27.6876
 2010-Nov-09 00:00      -0.45   2.67  0.463745019793  -2.2161814 1.36345037497489 -14.9745139  30.2281
 2010-Nov-11 00:00      -0.42   2.72  0.460635237362  -3.1658027 1.34505148719557 -16.8865760  32.8600
 2010-Nov-13 00:00      -0.40   2.76  0.456437122175  -4.0994574 1.32441890924558 -18.8429310  35.6129
 2010-Nov-15 00:00      -0.39   2.79  0.451172702970  -5.0107196 1.30149667543212 -20.8515217  38.5191
 2010-Nov-17 00:00      -0.38   2.82  0.444872181122  -5.8917958 1.27622085075430 -22.9180357  41.6145
 2010-Nov-19 00:00      -0.39   2.84  0.437575766044  -6.7330699 1.24852275704457 -25.0447733  44.9397
 2010-Nov-21 00:00      -0.39   2.85  0.429336084129  -7.5225632 1.21833374857911 -27.2290553  48.5411
 2010-Nov-23 00:00      -0.41   2.86  0.420221264700  -8.2453025 1.18559224255800 -29.4608469  52.4721
 2010-Nov-25 00:00      -0.42   2.87  0.410318807729  -8.8826026 1.15025417068200 -31.7191203  56.7946
 2010-Nov-27 00:00      -0.44   2.88  0.399740312180  -9.4113050 1.11230864585183 -33.9663661  61.5807
 2010-Nov-29 00:00      -0.45   2.88  0.388627065168  -9.8030741 1.07180131564637 -36.1406945  66.9140
 2010-Dec-01 00:00      -0.45   2.89  0.377156319177 -10.0239568 1.02886845736061 -38.1450831  72.8911
 2010-Dec-03 00:00      -0.43   2.91  0.365547757877 -10.0345755 0.98378524948870 -39.8336222  79.6221
 2010-Dec-05 00:00      -0.36   2.96  0.354069101642  -9.7915425 0.93703131311666 -40.9957033  87.2290
 2010-Dec-07 00:00      -0.23   3.03  0.343038990833  -9.2509046 0.88937414204737 -41.3418113  95.8410
 2010-Dec-09 00:00       0.01   3.17  0.332824288955  -8.3744826 0.84196415876685 -40.4996061 105.5827
 2010-Dec-11 00:00       0.41   3.39  0.323828133444  -7.1395319 0.79642083799148 -38.0367754 116.5532
 2010-Dec-13 00:00       1.06   3.73  0.316465237297  -5.5508201 0.75486527219091 -33.5352811 128.7873
 2010-Dec-15 00:00       2.05   4.19  0.311123249587  -3.6519206 0.71982602739140 -26.7381167 142.1946
 2010-Dec-17 00:00       3.46   4.68  0.308114086214  -1.5302676 0.69393849043254 -17.7511790 156.4368
 2010-Dec-19 00:00       n.a.   n.a.  0.307625765966   0.6894221 0.67942321158954  -7.1994614 170.1577
 2010-Dec-21 00:00       n.a.   n.a.  0.309689464792   2.8644842 0.67748952966469   3.8249780 169.7462
 2010-Dec-23 00:00       3.46   4.72  0.314173808188   4.8605729 0.68796210439672  14.0880974 156.2204
 2010-Dec-25 00:00       2.12   4.27  0.320808613218   6.5746447 0.70936520139596  22.6335801 142.5368
 2010-Dec-27 00:00       1.18   3.85  0.329229075586   7.9465755 0.73940663796361  29.0178700 129.8722
 2010-Dec-29 00:00       0.57   3.54  0.339025759086   8.9580015 0.77556903653431  33.2688852 118.4696
 2010-Dec-31 00:00       0.18   3.34  0.349787761955   9.6226788 0.81554990489375  35.6954185 108.3463
 2011-Jan-02 00:00      -0.05   3.21  0.361132703511   9.9741983 0.85747343377404  36.7017908  99.4176
 2011-Jan-04 00:00      -0.19   3.14  0.372723124626  10.0552084 0.89992737073031  36.6735877  91.5558
 2011-Jan-06 00:00      -0.26   3.09  0.384272229821   9.9098236 0.94190831450017  35.9293599  84.6233
 2011-Jan-08 00:00      -0.29   3.07  0.395542738893   9.5791772 0.98273665303352  34.7118943  78.4881
 2011-Jan-10 00:00      -0.30   3.06  0.406342058362   9.0993405 1.02197329282654  33.1971723  73.0315
 2011-Jan-12 00:00      -0.29   3.05  0.416515995986   8.5007460 1.05935052193512  31.5084565  68.1497
 2011-Jan-14 00:00      -0.28   3.04  0.425942342134   7.8084398 1.09471911750515  29.7297741  63.7536
 2011-Jan-16 00:00      -0.27   3.04  0.434524995486   7.0427157 1.12800962270210  27.9168355  59.7668
 2011-Jan-18 00:00      -0.26   3.03  0.442188908222   6.2198697 1.15920458866085  26.1051449  56.1242
 2011-Jan-20 00:00      -0.25   3.01  0.448875902782   5.3529403 1.18831876447250  24.3157706  52.7701
 2011-Jan-22 00:00      -0.25   2.99  0.454541303735   4.4523747 1.21538498074358  22.5595845  49.6561
 2011-Jan-24 00:00      -0.25   2.97  0.459151286030   3.5266032 1.24044441138310  20.8406745  46.7401
