*******************************************************************************
Ephemeris / WWW_USER Sat Apr 27 21:59:22 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2015-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt            delta      deldot    S-T-O
**************************************************************************
$$SOE
 2015-May-31 00:00      -1.93   5.50 5.67564496440629  25.4434916  10.0328
 2015-Jun-02 00:00      -1.92   5.50 5.70485372253582  25.1280977   9.9094
 2015-Jun-04 00:00      -1.91   5.50 5.73368814539938  24.7952110   9.7784
 2015-Jun-06 00:00      -1.90   5.50 5.76212770836822  24.4444431   9.6400
 2015-Jun-08 00:00      -1.89   5.50 5.79015543723107  24.0803528   9.4946
 2015-Jun-10 00:00      -1.88   5.50 5.81775244903715  23.6983344   9.3421
 2015-Jun-12 00:00      -1.87   5.50 5.84489751345311  23.2972704   9.1829
 2015-Jun-14 00:00      -1.86   5.50 5.87156838382010  22.8796626   9.0171
 2015-Jun-16 00:00      -1.85   5.50 5.89774669536660  22.4442550   8.8449
 2015-Jun-18 00:00      -1.84   5.50 5.92341104607585  21.9905563   8.6666
 2015-Jun-20 00:00      -1.84   5.50 5.94854045795157  21.5183144   8.4822
 2015-Jun-22 00:00      -1.83   5.50 5.97311824419938  21.0345720   8.2922
 2015-Jun-24 00:00      -1.82   5.50 5.99712957701752  20.5368370   8.0967
 2015-Jun-26 00:00      -1.81   5.50 6.02055910836108  20.0263152   7.8959
 2015-Jun-28 00:00      -1.80   5.50 6.04339190888791  19.5059080   7.6900
 2015-Jun-30 00:00      -1.80   5.50 6.06561887380070  18.9772028   7.4792
 2015-Jul-02 00:00      -1.79   5.50 6.08722874382299  18.4384906   7.2637
 2015-Jul-04 00:00      -1.78   5.49 6.10820904647753  17.8874153   7.0437
 2015-Jul-06 00:00      -1.78   5.49 6.12854856969361  17.3286675   6.8194
 2015-Jul-08 00:00      -1.77   5.49 6.14823651745610  16.7577119   6.5908
 2015-Jul-10 00:00      -1.77   5.49 6.16725838999223  16.1737933   6.3581
 2015-Jul-12 00:00      -1.76   5.49 6.18559762838735  15.5772163   6.1216
 2015-Jul-14 00:00      -1.75   5.49 6.20324253893523  14.9713179   5.8813
 2015-Jul-16 00:00      -1.75   5.49 6.22018017198666  14.3542692   5.6374
 2015-Jul-18 00:00      -1.75   5.49 6.23639764881472  13.7248395   5.3903
 2015-Jul-20 00:00      -1.74   5.49 6.25188369829335  13.0889833   5.1399
 2015-Jul-22 00:00      -1.74   5.49 6.26663148584507  12.4453118   4.8866
 2015-Jul-24 00:00      -1.73   5.49 6.28063257068516  11.7947070   4.6304
 2015-Jul-26 00:00      -1.73   5.49 6.29387773979959  11.1371630   4.3717
 2015-Jul-28 00:00      -1.73   5.48 6.30636280554174  10.4781333   4.1105
 2015-Jul-30 00:00      -1.72   5.48 6.31808359366000   9.8151796   3.8471
 2015-Aug-01 00:00      -1.72   5.48 6.32903501456530   9.1461091   3.5815
 2015-Aug-03 00:00      -1.72   5.48 6.33921052070735   8.4734637   3.3139
 2015-Aug-05 00:00      -1.72   5.48 6.34860634571922   7.7947444   3.0445
 2015-Aug-07 00:00      -1.71   5.48 6.35721456941404   7.1085058   2.7735
 2015-Aug-09 00:00      -1.71   5.48 6.36502461058126   6.4124773   2.5008
 2015-Aug-11 00:00      -1.71   5.48 6.37202898828845   5.7129192   2.2269
 2015-Aug-13 00:00      -1.71   5.48 6.37822165270024   5.0078540   1.9518
 2015-Aug-15 00:00      -1.71   5.48 6.38359639752312   4.2968559   1.6759
 2015-Aug-17 00:00      -1.71   5.47 6.38814661658147   3.5830152   1.3995
 2015-Aug-19 00:00      -1.71   5.47 6.39187190548831   2.8680473   1.1231
 2015-Aug-21 00:00      -1.71   5.47 6.39477087790449   2.1519870   0.8477
 2015-Aug-23 00:00      -1.71   5.47 6.39684127834945   1.4326733   0.5756
 2015-Aug-25 00:00      -1.71   5.47 6.39808310782071   0.7168029   0.3172
 2015-Aug-27 00:00      -1.71   5.47 6.39849895992108   0.0023621   0.1638
