 2010-Nov-03 00:00       1.24   6.99  9.567375192570   0.5215726 10.4245659396538 -13.8143892   2.8634
 2010-Nov-05 00:00       1.24   6.99  9.567977996692   0.5220063 10.4081563044494 -14.5964282   3.0218
 2010-Nov-07 00:00       1.25   7.00  9.568580881312   0.5217501 10.3908501701229 -15.3662061   3.1775
 2010-Nov-09 00:00       1.25   7.01  9.569183030837   0.5206984 10.3726629411530 -16.1217790   3.3305
 2010-Nov-11 00:00       1.25   7.01  9.569783899072   0.5196840 10.3536121512744 -16.8611417   3.4805
 2010-Nov-13 00:00       1.26   7.02  9.570383901845   0.5192415 10.3337172685266 -17.5831876   3.6275
 2010-Nov-15 00:00       1.26   7.03  9.570983732713   0.5194513 10.3129985209254 -18.2875265   3.7712
 2010-Nov-17 00:00       1.26   7.03  9.571584257397   0.5202643 10.2914766355730 -18.9739275   3.9115
 2010-Nov-19 00:00       1.26   7.04  9.572185765843   0.5210930 10.2691720387471 -19.6428077   4.0483
 2010-Nov-21 00:00       1.26   7.05  9.572788089841   0.5216338 10.2461048052895 -20.2944611   4.1814
 2010-Nov-23 00:00       1.26   7.05  9.573390517511   0.5212127 10.2222943769460 -20.9297286   4.3107
 2010-Nov-25 00:00       1.26   7.06  9.573992116791   0.5202580 10.1977597430368 -21.5483391   4.4360
 2010-Nov-27 00:00       1.26   7.06  9.574592511906   0.5192205 10.1725204770355 -22.1495884   4.5572
 2010-Nov-29 00:00       1.26   7.07  9.575191935618   0.5187690 10.1465974197384 -22.7318898   4.6741
 2010-Dec-01 00:00       1.26   7.07  9.575791309348   0.5190254 10.1200136128236 -23.2934337   4.7866
 2010-Dec-03 00:00       1.26   7.08  9.576391282054   0.5197772 10.0927940810186 -23.8322654   4.8945
 2010-Dec-05 00:00       1.26   7.08  9.576992284954   0.5207265 10.0649662559337 -24.3463893   4.9976
 2010-Dec-07 00:00       1.26   7.09  9.577594061109   0.5210901 10.0365593219059 -24.8347643   5.0958
 2010-Dec-09 00:00       1.26   7.09  9.578195912282   0.5207729 10.0076036815604 -25.2964231   5.1888
 2010-Dec-11 00:00       1.25   7.09  9.578796951448   0.5197155 9.97813037814595 -25.7310154   5.2767
 2010-Dec-13 00:00       1.25   7.10  9.579396690350   0.5187396 9.94817111859235 -26.1376007   5.3592
 2010-Dec-15 00:00       1.25   7.10  9.579995567449   0.5182251 9.91775867539431 -26.5156756   5.4362
 2010-Dec-17 00:00       1.24   7.10  9.580594293480   0.5184717 9.88692618965181 -26.8648951   5.5076
 2010-Dec-19 00:00       1.24   7.11  9.581193708826   0.5192923 9.85570692011871 -27.1855357   5.5732
 2010-Dec-21 00:00       1.24   7.11  9.581794058950   0.5201104 9.82413328553443 -27.4785191   5.6330
 2010-Dec-23 00:00       1.23   7.11  9.582395225293   0.5205493 9.79223691286760 -27.7445351   5.6869
 2010-Dec-25 00:00       1.23   7.11  9.582996421261   0.5201015 9.76004860661488 -27.9839715   5.7347
 2010-Dec-27 00:00       1.22   7.12  9.583596748760   0.5191626 9.72759965300900 -28.1954793   5.7762
 2010-Dec-29 00:00       1.22   7.12  9.584195825935   0.5180709 9.69492344536009 -28.3770049   5.8115
 2010-Dec-31 00:00       1.21   7.12  9.584793966173   0.5176182 9.66205625108004 -28.5257544   5.8403
 2011-Jan-02 00:00       1.20   7.12  9.585392057024   0.5178890 9.62903718467773 -28.6397897   5.8626
 2011-Jan-04 00:00       1.20   7.12  9.585990722524   0.5186841 9.59590693905615 -28.7180205   5.8782
 2011-Jan-06 00:00       1.19   7.12  9.586590418278   0.5195452 9.56270718014637 -28.7602238   5.8870
 2011-Jan-08 00:00       1.18   7.12  9.587190844954   0.5198707 9.52947923305823 -28.7669343   5.8890
 2011-Jan-10 00:00       1.18   7.12  9.587791309515   0.5195515 9.49626388148249 -28.7385247   5.8841
 2011-Jan-12 00:00       1.17   7.12  9.588390876923   0.5184633 9.46310127375293 -28.6755461   5.8722
 2011-Jan-14 00:00       1.16   7.12  9.588989162389   0.5174543 9.43003157036982 -28.5776243   5.8533
 2011-Jan-16 00:00       1.15   7.12  9.589586585435   0.5169397 9.39709515121822 -28.4449138   5.8274
 2011-Jan-18 00:00       1.14   7.12  9.590183862913   0.5172648 9.36433189580134 -28.2778690   5.7944
 2011-Jan-20 00:00       1.13   7.12  9.590781823578   0.5180353 9.33178086052133 -28.0776628   5.7544
 2011-Jan-22 00:00       1.12   7.11  9.591380712561   0.5188141 9.29947983383288 -27.8450155   5.7072
 2011-Jan-24 00:00       1.11   7.11  9.591980403216   0.5192311 9.26746648746979 -27.5795326   5.6529
 2011-Jan-26 00:00       1.10   7.11  9.592580034519   0.5187778 9.23577911410685 -27.2802769   5.5914
 2011-Jan-28 00:00       1.09   7.11  9.593178783777   0.5177809 9.20445777104067 -26.9454836   5.5228
 2011-Jan-30 00:00       1.08   7.10  9.593776261345   0.5166507 9.17354434038070 -26.5738198   5.4471
 2011-Feb-01 00:00       1.07   7.10  9.594372828148   0.5162794 9.14308215866278 -26.1640661   5.3642
 2011-Feb-03 00:00       1.06   7.10  9.594969328721   0.5165430 9.11311513672666 -25.7165402   5.2742
